condition,rating,usefulCount,sentiment
0,10,2,1
0,8,1,0
0,1,4,-1
0,1,4,-1
0,8,4,1
0,3,2,-1
0,2,3,-1
0,9,17,1
0,1,0,-1
0,9,29,-1
0,2,38,-1
0,1,5,-1
0,1,10,-1
0,2,6,0
0,6,11,-1
0,3,1,1
0,8,36,-1
0,4,0,0
0,3,11,-1
0,7,22,-1
0,3,1,0
0,1,2,-1
0,1,7,-1
0,5,0,-1
0,6,2,1
0,3,1,0
0,10,12,0
0,1,5,-1
0,1,4,-1
0,8,2,-1
0,3,18,-1
0,10,7,0
0,3,0,-1
0,7,8,0
0,5,11,-1
0,1,7,-1
0,2,3,-1
0,7,22,1
0,3,0,-1
0,2,0,1
0,4,8,-1
0,3,1,-1
0,1,5,-1
0,2,7,-1
0,1,10,-1
0,5,2,-1
0,10,9,-1
0,2,1,-1
0,1,10,1
0,2,1,-1
0,2,4,-1
0,1,4,-1
0,1,18,-1
0,5,3,0
0,1,4,-1
0,1,1,-1
0,3,4,-1
0,1,1,-1
0,2,4,-1
0,5,15,-1
0,1,13,1
0,2,2,-1
0,1,4,-1
0,10,137,1
0,3,0,-1
0,10,11,1
0,8,0,1
0,3,3,-1
0,4,24,-1
0,1,5,-1
0,1,2,-1
0,1,9,-1
0,1,4,-1
0,5,6,0
0,1,3,-1
0,6,2,1
0,2,7,-1
0,1,3,-1
0,1,2,-1
0,1,2,-1
0,1,4,-1
0,10,13,1
0,3,0,-1
0,1,1,0
0,1,4,-1
0,1,2,0
0,1,7,-1
0,2,0,-1
0,7,1,0
0,10,1,1
0,4,2,1
0,8,7,1
0,1,4,1
0,7,2,1
0,3,1,-1
0,6,21,-1
0,8,9,-1
0,1,2,-1
0,3,0,-1
0,8,45,0
0,8,2,1
0,1,1,-1
0,1,6,-1
0,1,3,-1
0,1,0,-1
0,8,61,1
0,9,34,0
0,1,2,-1
0,1,3,-1
0,6,7,0
0,7,11,0
0,10,3,1
0,1,5,-1
0,2,0,-1
0,2,1,0
0,8,6,1
0,8,2,-1
0,7,7,1
0,7,3,0
0,6,14,-1
0,1,2,-1
0,4,19,0
0,3,2,-1
0,1,1,-1
0,10,6,0
0,5,3,-1
0,5,9,-1
0,3,3,-1
0,3,23,0
0,6,1,0
0,8,18,-1
0,6,16,0
0,5,9,-1
0,1,20,-1
0,1,0,-1
0,6,1,0
0,1,19,-1
0,1,6,0
0,2,2,-1
0,9,5,1
0,1,0,1
0,1,4,-1
